EmployeeId,Age,Attrition,BusinessTravel,DistanceFromHome,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
19,25,No,Travel_Frequently,2,Life Sciences,Very High,Very High,1,Manufacturing Director,High,Divorced,5206,No,2,7,Excellent,7,7,7
20,49,No,Travel_Rarely,4,Medical,Low,Medium,4,Manager,High,Married,18711,No,1,23,Outstanding,1,0,0
21,24,No,Travel_Rarely,23,Medical,Medium,Very High,0,Research Scientist,Very High,Married,2725,Yes,2,6,Excellent,6,5,4
22,40,No,Travel_Rarely,6,Life Sciences,Medium,High,3,Manufacturing Director,High,Single,13237,No,0,22,Excellent,20,6,13
23,41,No,Non-Travel,10,Life Sciences,Very High,High,1,Sales Executive,Very High,Single,6230,No,0,16,Excellent,14,3,10
24,32,No,Travel_Rarely,8,Technical Degree,High,Medium,1,Sales Executive,Medium,Married,5228,Yes,0,13,Excellent,13,12,9
25,24,Yes,Travel_Rarely,1,Medical,Medium,High,0,Research Scientist,Very High,Married,2293,Yes,1,6,Good,2,0,0
26,49,No,Travel_Rarely,25,Life Sciences,High,High,0,Laboratory Technician,Low,Married,3211,No,1,10,Good,9,6,4
27,24,No,Travel_Rarely,21,Technical Degree,High,Medium,0,Laboratory Technician,Low,Divorced,2296,No,3,2,Excellent,1,1,0
28,39,No,Travel_Rarely,13,Medical,High,Medium,3,Manager,Medium,Divorced,17123,Yes,2,21,Excellent,19,9,2
29,59,No,Travel_Rarely,6,Medical,Medium,High,0,Human Resources,High,Married,2267,No,0,7,Good,2,2,2
30,47,No,Travel_Rarely,26,Life Sciences,Very High,High,4,Manager,High,Married,19658,No,1,27,Excellent,5,2,0
31,36,No,Travel_Rarely,14,Life Sciences,High,High,1,Healthcare Representative,Very High,Married,6586,Yes,1,17,Good,16,8,11
32,30,No,Travel_Rarely,7,Life Sciences,High,High,1,Laboratory Technician,High,Divorced,3491,No,3,10,Good,10,7,9
33,38,No,Travel_Rarely,1,Human Resources,High,Very High,0,Human Resources,High,Married,2844,No,1,7,Outstanding,7,6,0
34,28,Yes,Travel_Frequently,1,Technical Degree,Low,High,0,Sales Representative,High,Married,2909,No,1,5,Outstanding,3,2,2
35,31,No,Travel_Rarely,2,Life Sciences,High,High,0,Research Scientist,Very High,Divorced,2695,Yes,1,3,Low,2,2,2
36,36,No,Non-Travel,1,Medical,Very High,High,1,Sales Executive,Very High,Single,6653,No,0,7,Excellent,1,0,0
37,32,No,Travel_Rarely,1,Medical,Low,High,1,Manufacturing Director,Very High,Married,6162,Yes,1,9,Excellent,9,8,8
38,43,No,Travel_Rarely,27,Technical Degree,Very High,Very High,0,Laboratory Technician,Medium,Divorced,4876,No,1,8,Excellent,6,4,2
39,28,No,Non-Travel,4,Medical,Medium,High,1,Sales Executive,High,Married,4221,No,0,5,Outstanding,5,4,4
40,31,Yes,Travel_Rarely,6,Life Sciences,Medium,Low,1,Sales Executive,High,Married,6172,Yes,0,12,Good,7,7,7
41,50,No,Travel_Rarely,8,Marketing,Very High,High,0,Sales Representative,Medium,Married,3875,No,1,4,Excellent,2,2,2
42,39,No,Travel_Rarely,1,Medical,High,Very High,2,Healthcare Representative,Very High,Divorced,9613,No,3,19,Good,18,10,7
43,35,No,Travel_Rarely,16,Medical,Low,Very High,0,Laboratory Technician,Medium,Married,2426,No,1,6,Excellent,5,4,3
44,32,No,Travel_Frequently,5,Life Sciences,Medium,High,1,Sales Executive,Medium,Married,6524,No,1,10,Excellent,10,8,3
45,26,Yes,Travel_Rarely,21,Medical,Low,High,0,Laboratory Technician,High,Divorced,2377,No,1,1,Good,1,1,0
46,30,No,Travel_Rarely,2,Life Sciences,High,Medium,1,Healthcare Representative,Very High,Married,4152,No,3,11,Excellent,11,10,8
47,38,No,Travel_Rarely,10,Life Sciences,Low,High,1,Sales Executive,Very High,Married,5343,No,1,10,Excellent,10,7,9
48,30,No,Travel_Rarely,1,Life Sciences,High,High,0,Human Resources,High,Divorced,2064,No,1,6,Outstanding,5,3,3
49,38,No,Travel_Frequently,23,Life Sciences,Very High,Medium,2,Manufacturing Director,High,Single,9526,No,0,10,Excellent,9,7,8
50,21,No,Travel_Rarely,22,Technical Degree,High,High,0,Sales Representative,High,Single,3447,No,0,3,Excellent,3,2,2
51,35,No,Travel_Rarely,7,Other,High,High,2,Manufacturing Director,High,Single,10221,No,0,17,Outstanding,8,5,6
52,50,No,Travel_Rarely,9,Marketing,High,High,4,Manager,High,Married,19331,Yes,1,27,Excellent,1,0,0
53,34,No,Travel_Frequently,10,Life Sciences,High,Very High,1,Manufacturing Director,Very High,Divorced,4724,No,1,9,Excellent,9,7,2
54,26,No,Travel_Frequently,1,Life Sciences,High,High,1,Manufacturing Director,Medium,Divorced,6397,No,1,6,Low,6,5,4
55,31,Yes,Travel_Frequently,2,Life Sciences,Medium,High,0,Laboratory Technician,Very High,Married,3722,Yes,1,7,Low,2,2,2
56,30,No,Travel_Rarely,7,Medical,Medium,Medium,0,Research Scientist,Medium,Married,2141,No,1,6,Good,6,4,1
57,32,No,Travel_Rarely,2,Medical,High,High,0,Laboratory Technician,Medium,Married,2370,No,1,8,Excellent,8,0,7
58,32,No,Travel_Rarely,10,Marketing,Very High,High,1,Sales Executive,Very High,Single,5396,No,0,10,Good,10,7,8
59,34,No,Travel_Rarely,2,Life Sciences,Very High,Medium,0,Research Scientist,High,Divorced,2768,No,1,14,Excellent,7,3,7
60,33,No,Travel_Frequently,5,Life Sciences,Very High,High,2,Manager,Medium,Married,11878,No,2,12,Excellent,10,6,8
61,47,No,Travel_Rarely,2,Medical,Low,High,1,Manufacturing Director,Very High,Divorced,5070,No,3,20,Excellent,5,0,4
62,35,No,Travel_Rarely,7,Life Sciences,Very High,High,0,Sales Representative,High,Married,2404,No,1,1,Excellent,1,0,0
63,30,No,Travel_Rarely,1,Life Sciences,Very High,Low,0,Laboratory Technician,High,Married,3833,No,2,7,Excellent,2,2,2
64,58,No,Travel_Rarely,9,Medical,Medium,Medium,0,Research Scientist,Medium,Married,3346,Yes,1,9,Good,1,0,0
65,37,Yes,Travel_Rarely,1,Life Sciences,Low,Medium,2,Sales Executive,High,Married,10609,No,0,17,Low,14,1,7
66,45,No,Travel_Rarely,28,Technical Degree,Very High,Medium,3,Research Director,Medium,Single,16704,No,0,21,Excellent,21,6,6
67,52,No,Non-Travel,29,Life Sciences,Low,High,0,Sales Representative,Very High,Divorced,3482,No,2,16,Good,9,8,0
68,38,No,Travel_Rarely,9,Life Sciences,High,High,0,Laboratory Technician,Very High,Single,2288,No,0,2,Excellent,2,2,1
69,43,Yes,Travel_Rarely,9,Marketing,Low,Low,1,Sales Executive,High,Single,5346,No,0,7,Good,4,3,3
70,27,No,Travel_Rarely,23,Medical,Medium,Medium,1,Sales Representative,High,Married,3540,No,1,9,Excellent,9,8,8
71,52,No,Travel_Frequently,28,Medical,Very High,Very High,3,Manufacturing Director,High,Married,13247,Yes,1,24,Good,5,3,2
72,49,No,Travel_Rarely,3,Medical,High,Medium,1,Laboratory Technician,Low,Married,4789,No,1,10,Excellent,3,2,2
73,44,No,Travel_Rarely,1,Marketing,Medium,High,1,Sales Executive,Low,Divorced,5454,Yes,1,9,Good,4,3,3
74,59,No,Travel_Rarely,3,Life Sciences,High,Medium,0,Research Scientist,Very High,Married,2177,No,1,7,Excellent,1,0,0
75,58,No,Travel_Rarely,21,Life Sciences,Very High,High,3,Manager,Very High,Married,17875,Yes,1,29,Good,1,0,0
76,31,No,Travel_Rarely,4,Medical,Low,Very High,0,Laboratory Technician,High,Divorced,3978,No,1,4,Good,2,2,2
77,42,No,Non-Travel,21,Medical,High,High,1,Manufacturing Director,High,Divorced,5265,No,1,11,Excellent,5,3,2
78,45,No,Travel_Rarely,2,Other,Very High,High,1,Sales Executive,Medium,Married,4805,No,1,9,Outstanding,8,7,7
79,31,No,Travel_Rarely,10,Medical,High,High,1,Sales Executive,Very High,Divorced,6583,Yes,1,8,Excellent,5,2,4
80,34,No,Travel_Rarely,3,Life Sciences,Very High,High,1,Research Scientist,Medium,Divorced,5433,No,1,11,Excellent,11,8,9
81,21,Yes,Travel_Rarely,18,Other,Very High,High,0,Research Scientist,Very High,Single,2693,No,0,1,Good,1,0,0
82,23,No,Travel_Rarely,4,Medical,Low,Very High,0,Research Scientist,Low,Married,2819,No,1,5,Outstanding,3,2,2
83,47,No,Travel_Rarely,9,Life Sciences,Medium,High,0,Laboratory Technician,High,Single,2105,No,0,7,Excellent,2,2,0
84,54,No,Travel_Rarely,3,Marketing,Very High,High,1,Sales Executive,Low,Married,5940,No,1,16,Excellent,6,2,5
85,41,No,Travel_Rarely,7,Technical Degree,Medium,Very High,0,Research Scientist,High,Married,3376,No,0,10,Excellent,10,6,8
86,45,No,Travel_Rarely,20,Medical,Medium,Low,2,Healthcare Representative,Low,Divorced,10851,Yes,1,24,Excellent,7,7,7
87,36,No,Travel_Rarely,11,Marketing,Medium,Medium,1,Sales Executive,Very High,Married,6652,No,1,8,Good,6,3,0
88,45,No,Non-Travel,6,Medical,Very High,Medium,2,Sales Executive,Very High,Single,8865,No,0,23,Excellent,19,7,8
89,46,No,Travel_Rarely,10,Life Sciences,High,High,2,Sales Executive,Medium,Married,7314,No,3,14,Excellent,8,7,7
90,42,No,Travel_Rarely,12,Marketing,Medium,High,1,Sales Executive,Very High,Divorced,5087,Yes,2,14,Excellent,0,0,0
91,34,No,Travel_Rarely,5,Medical,Medium,Medium,1,Laboratory Technician,Very High,Married,3986,No,1,15,Outstanding,15,10,13
92,37,No,Travel_Rarely,7,Medical,Very High,High,1,Research Scientist,Low,Married,4284,Yes,1,16,Excellent,5,3,4
93,55,No,Travel_Rarely,1,Life Sciences,Low,High,2,Sales Executive,Very High,Married,10239,No,1,24,Excellent,1,0,0
94,22,No,Non-Travel,26,Other,Medium,Medium,0,Research Scientist,High,Married,2814,Yes,0,4,Good,4,2,3
95,34,No,Travel_Frequently,2,Life Sciences,Very High,Medium,1,Manufacturing Director,High,Married,9547,No,0,10,Good,10,9,9
96,29,No,Travel_Rarely,1,Life Sciences,Low,High,1,Healthcare Representative,Low,Married,5373,No,1,6,Good,5,3,2
97,57,No,Travel_Rarely,1,Life Sciences,Medium,Very High,1,Research Scientist,High,Married,4900,No,1,13,Good,12,9,8
98,53,No,Travel_Rarely,24,Life Sciences,Low,High,2,Sales Executive,Low,Single,10448,Yes,0,15,Good,2,2,2
99,33,No,Travel_Rarely,4,Medical,High,Medium,0,Research Scientist,Medium,Married,2622,No,0,7,Excellent,3,2,1
100,32,No,Non-Travel,1,Life Sciences,Very High,High,0,Laboratory Technician,Very High,Divorced,2314,No,1,4,Excellent,3,0,2
101,21,Yes,Travel_Frequently,10,Life Sciences,Low,Medium,0,Laboratory Technician,High,Single,2625,No,0,2,Low,2,2,2
102,34,Yes,Travel_Frequently,6,Marketing,Very High,Low,0,Sales Representative,High,Divorced,2351,No,1,3,Good,2,2,0
103,55,No,Travel_Rarely,22,Technical Degree,Low,Medium,0,Research Scientist,Medium,Divorced,3537,No,1,8,Excellent,4,2,2
104,27,No,Travel_Frequently,20,Life Sciences,Very High,High,1,Sales Executive,High,Single,9981,No,0,7,Excellent,7,7,7
105,46,No,Travel_Rarely,3,Technical Degree,Low,Very High,3,Sales Executive,Low,Divorced,13225,No,1,25,Excellent,19,17,8
106,36,No,Travel_Rarely,6,Life Sciences,High,Low,0,Laboratory Technician,High,Divorced,2741,No,1,7,Excellent,7,7,7
107,41,Yes,Travel_Rarely,12,Technical Degree,Medium,High,4,Research Director,High,Married,19545,No,0,23,Excellent,22,15,8
108,38,No,Travel_Frequently,1,Life Sciences,Very High,High,1,Research Scientist,Very High,Married,4735,No,2,19,Outstanding,13,11,9
109,33,No,Travel_Frequently,6,Life Sciences,High,High,1,Healthcare Representative,Very High,Divorced,7725,No,1,15,Low,13,11,7
110,18,Yes,Non-Travel,8,Medical,High,High,0,Laboratory Technician,High,Single,1904,No,0,0,Excellent,0,0,0
111,27,No,Travel_Rarely,9,Medical,Very High,High,0,Research Scientist,Medium,Single,2279,No,0,7,Good,7,7,3
112,22,No,Travel_Rarely,1,Life Sciences,Very High,Medium,1,Manufacturing Director,Very High,Married,4775,No,2,4,Low,2,2,2
113,33,Yes,Travel_Rarely,14,Medical,High,High,0,Laboratory Technician,Very High,Married,2436,Yes,1,8,Low,5,4,4
114,42,No,Travel_Frequently,28,Technical Degree,Very High,Medium,1,Healthcare Representative,Very High,Married,4523,No,3,7,Outstanding,6,5,4
115,29,No,Travel_Frequently,1,Life Sciences,Medium,Low,0,Research Scientist,Very High,Divorced,2720,No,1,10,Excellent,10,7,8
116,39,No,Non-Travel,1,Life Sciences,Very High,High,1,Laboratory Technician,Very High,Married,6472,Yes,1,9,Excellent,9,8,8
117,35,No,Travel_Rarely,1,Medical,Very High,Medium,1,Laboratory Technician,Very High,Married,5363,No,1,10,Excellent,9,7,0
118,30,No,Travel_Rarely,16,Life Sciences,High,Very High,1,Healthcare Representative,High,Married,5294,No,1,10,Excellent,7,0,7
119,37,No,Non-Travel,9,Medical,Low,High,2,Sales Executive,Medium,Divorced,8834,No,1,9,Excellent,9,5,7
120,39,No,Travel_Rarely,3,Medical,High,Medium,1,Laboratory Technician,High,Divorced,3069,No,1,11,Excellent,10,8,7
121,52,Yes,Travel_Rarely,2,Marketing,Low,Low,4,Manager,Very High,Married,19845,No,1,33,Excellent,32,14,9
122,31,No,Travel_Rarely,7,Technical Degree,Medium,Very High,1,Sales Executive,Very High,Married,6929,No,1,10,Good,8,7,7
123,29,No,Travel_Rarely,10,Life Sciences,High,High,0,Sales Representative,High,Single,2642,No,0,1,Excellent,1,0,0
124,28,No,Travel_Rarely,24,Medical,High,High,0,Laboratory Technician,Medium,Married,2408,Yes,3,1,Excellent,1,1,0
125,26,No,Travel_Rarely,1,Medical,High,High,0,Laboratory Technician,Low,Single,2867,No,0,8,Good,7,7,6
126,32,Yes,Non-Travel,11,Other,Very High,Very High,1,Sales Executive,High,Married,4707,No,0,6,Excellent,4,2,2
127,35,No,Non-Travel,11,Medical,High,Medium,2,Healthcare Representative,Low,Married,9884,Yes,1,10,Excellent,4,0,3
128,43,No,Travel_Rarely,3,Life Sciences,High,Low,4,Research Director,Very High,Married,19740,No,1,25,Excellent,8,7,7
129,33,No,Travel_Rarely,2,Life Sciences,High,High,0,Research Scientist,Very High,Single,2500,No,0,4,Outstanding,3,1,2
130,44,No,Travel_Rarely,2,Life Sciences,High,Very High,2,Healthcare Representative,Very High,Married,7879,Yes,1,9,Excellent,8,7,7
131,41,No,Travel_Rarely,3,Life Sciences,High,Medium,1,Sales Executive,Medium,Divorced,8938,No,1,14,Excellent,5,4,4
132,45,No,Travel_Frequently,1,Medical,Medium,High,1,Healthcare Representative,High,Single,5399,No,0,12,Excellent,4,2,3
133,37,No,Travel_Rarely,10,Life Sciences,Very High,Medium,1,Sales Executive,Very High,Divorced,6694,Yes,3,8,Excellent,1,0,0
134,27,Yes,Travel_Rarely,17,Life Sciences,Very High,High,0,Research Scientist,High,Single,2394,Yes,0,8,Excellent,8,2,7
135,28,No,Travel_Rarely,2,Life Sciences,Low,Medium,0,Research Scientist,Medium,Married,3201,No,0,6,Low,5,3,4
136,27,No,Travel_Frequently,10,Life Sciences,Very High,High,2,Manufacturing Director,Low,Divorced,8793,No,2,9,Good,9,7,7
137,37,No,Travel_Rarely,16,Marketing,Very High,Medium,1,Sales Executive,High,Divorced,6334,No,2,9,Excellent,1,0,0
138,27,No,Travel_Rarely,6,Life Sciences,Very High,Medium,0,Research Scientist,High,Married,2539,No,1,4,Excellent,4,2,2
139,37,No,Travel_Frequently,4,Marketing,Low,High,0,Sales Representative,Very High,Divorced,2793,No,1,13,Excellent,9,8,8
140,31,No,Travel_Rarely,24,Medical,High,Medium,1,Healthcare Representative,Low,Single,6812,No,0,10,Excellent,10,9,8
141,48,No,Travel_Rarely,1,Life Sciences,Very High,Medium,4,Research Director,Very High,Single,18265,No,0,25,Outstanding,1,0,0
142,36,No,Travel_Rarely,1,Other,High,High,1,Manufacturing Director,Medium,Married,5228,No,1,10,Excellent,9,7,5
143,37,No,Travel_Rarely,1,Life Sciences,Very High,Medium,1,Manufacturing Director,Very High,Married,6474,No,1,14,Good,14,8,11
144,55,No,Travel_Rarely,4,Life Sciences,Very High,High,1,Healthcare Representative,High,Married,4035,Yes,0,4,Excellent,3,2,2
145,33,No,Travel_Frequently,7,Life Sciences,Very High,High,1,Healthcare Representative,High,Divorced,5968,No,3,9,Excellent,9,7,8
146,38,No,Travel_Rarely,1,Life Sciences,Low,Medium,1,Sales Executive,Very High,Single,8686,No,0,12,Outstanding,8,3,7
147,32,No,Travel_Rarely,13,Life Sciences,Medium,High,1,Sales Executive,Very High,Divorced,4403,No,1,8,Good,5,2,3
148,32,No,Travel_Rarely,5,Other,Medium,Very High,0,Research Scientist,Very High,Married,3312,No,2,6,Excellent,3,2,2
149,28,No,Travel_Rarely,10,Other,High,High,1,Research Scientist,High,Single,3660,No,0,10,Outstanding,8,7,7
150,43,No,Travel_Frequently,28,Medical,Medium,Very High,0,Research Scientist,High,Single,4739,No,0,18,Excellent,3,2,2
151,29,No,Travel_Rarely,19,Life Sciences,High,Medium,1,Sales Executive,High,Divorced,8620,No,2,10,Excellent,10,7,4
152,30,No,Travel_Rarely,1,Medical,Very High,High,0,Research Scientist,Medium,Married,3579,Yes,1,12,Excellent,11,9,7
153,33,No,Non-Travel,17,Life Sciences,Very High,High,3,Manager,High,Single,17444,No,0,10,Excellent,10,8,0
154,43,No,Travel_Rarely,8,Life Sciences,Low,High,1,Manufacturing Director,Medium,Divorced,4765,No,1,4,Outstanding,1,0,0
155,42,No,Travel_Frequently,26,Medical,Low,High,2,Research Director,Low,Married,13191,Yes,0,20,Excellent,1,0,0
156,37,No,Travel_Rarely,10,Medical,High,High,0,Laboratory Technician,Low,Married,3452,No,1,17,Excellent,5,4,3
157,56,No,Non-Travel,1,Life Sciences,High,High,1,Healthcare Representative,High,Divorced,6306,No,1,13,Good,13,12,9
158,27,No,Travel_Frequently,15,Life Sciences,Very High,Medium,0,Research Scientist,Low,Married,4774,No,1,8,Good,7,6,3
159,26,No,Travel_Rarely,20,Medical,Very High,High,0,Human Resources,Medium,Married,2148,Yes,0,6,Excellent,5,1,4
160,24,No,Travel_Frequently,24,Medical,Very High,High,0,Sales Representative,Very High,Married,2400,No,2,3,Excellent,2,2,1
161,37,No,Non-Travel,25,Medical,Medium,High,1,Research Scientist,High,Married,4449,Yes,2,15,Excellent,13,11,7
162,37,No,Travel_Rarely,2,Marketing,Very High,High,1,Sales Executive,High,Married,9602,Yes,1,17,Good,3,0,0
163,40,No,Travel_Frequently,26,Medical,Medium,High,1,Research Scientist,Medium,Divorced,5605,No,1,20,Excellent,20,7,13
164,34,No,Travel_Rarely,2,Medical,Very High,Very High,0,Research Scientist,Very High,Married,2932,Yes,3,6,Excellent,5,0,2
165,55,Yes,Travel_Rarely,2,Medical,High,High,1,Sales Executive,Very High,Single,5160,No,0,12,Good,9,7,3
166,34,No,Travel_Rarely,15,Medical,High,High,1,Sales Executive,Low,Single,6125,No,0,10,Outstanding,10,8,6
167,18,No,Travel_Rarely,10,Medical,Very High,Medium,0,Sales Representative,High,Single,1200,No,0,0,Excellent,0,0,0
168,41,No,Travel_Rarely,2,Life Sciences,Very High,High,3,Manager,Medium,Single,16015,No,0,22,Excellent,22,10,4
169,44,No,Travel_Frequently,1,Marketing,Low,High,1,Sales Executive,High,Married,4768,No,1,11,Good,1,0,0
170,42,No,Travel_Rarely,8,Marketing,High,High,1,Sales Executive,Medium,Married,6825,No,1,10,Excellent,9,7,2
171,51,No,Travel_Rarely,3,Medical,Very High,High,3,Healthcare Representative,Medium,Single,13734,No,0,21,Excellent,7,7,0
172,32,Yes,Travel_Rarely,1,Life Sciences,Very High,Medium,0,Laboratory Technician,High,Single,3730,Yes,0,4,Low,3,2,2
173,42,No,Non-Travel,10,Technical Degree,High,High,0,Research Scientist,High,Married,2936,No,2,10,Good,6,3,3
174,31,No,Travel_Rarely,7,Life Sciences,High,Medium,2,Manager,Very High,Divorced,11557,No,1,10,Good,5,4,1
175,31,No,Travel_Frequently,1,Life Sciences,High,High,1,Manufacturing Director,Low,Married,4148,No,1,4,Excellent,4,3,3
176,30,Yes,Travel_Frequently,5,Medical,Medium,High,0,Laboratory Technician,Medium,Single,2422,No,0,4,Excellent,3,2,2
177,36,No,Travel_Rarely,2,Life Sciences,Very High,High,0,Research Scientist,High,Married,2543,No,1,6,Excellent,2,2,2
178,28,No,Travel_Rarely,15,Life Sciences,Low,High,0,Laboratory Technician,High,Divorced,2207,No,1,4,Good,4,2,2
179,30,No,Travel_Rarely,20,Other,High,High,1,Manufacturing Director,Low,Married,9957,No,1,7,Good,6,2,2
180,35,No,Travel_Rarely,2,Marketing,Very High,High,0,Sales Representative,Very High,Married,2014,No,0,2,Excellent,2,2,2
181,59,No,Travel_Rarely,18,Medical,Very High,High,2,Manufacturing Director,Very High,Single,10512,No,0,25,Good,9,7,4
182,39,No,Non-Travel,25,Life Sciences,High,High,2,Healthcare Representative,High,Married,10920,No,1,13,Excellent,6,4,5
183,27,No,Travel_Rarely,8,Medical,High,High,0,Research Scientist,Very High,Single,3445,No,0,6,Good,6,2,4
184,29,No,Travel_Frequently,2,Life Sciences,Medium,High,1,Sales Executive,Very High,Single,4554,No,0,10,Good,10,7,9
185,34,Yes,Travel_Frequently,23,Human Resources,Medium,High,2,Human Resources,Low,Divorced,9950,Yes,3,11,Excellent,3,2,2
186,36,No,Travel_Rarely,3,Technical Degree,High,High,1,Research Scientist,Medium,Single,4485,No,0,10,Excellent,8,0,7
187,30,No,Travel_Rarely,5,Technical Degree,Very High,High,0,Research Scientist,Low,Divorced,3204,No,1,8,Excellent,3,2,2
188,34,No,Travel_Rarely,28,Marketing,Very High,Medium,1,Sales Executive,High,Married,6712,No,2,8,Excellent,8,7,7
189,27,No,Travel_Rarely,5,Technical Degree,High,Medium,2,Research Director,Very High,Divorced,12808,Yes,1,9,Excellent,9,8,8
190,43,No,Travel_Rarely,7,Life Sciences,High,High,2,Healthcare Representative,Low,Married,9985,No,1,10,Good,1,0,0
191,38,No,Travel_Rarely,15,Life Sciences,High,Medium,2,Research Director,Very High,Divorced,11510,Yes,1,12,Excellent,11,10,9
192,36,No,Travel_Rarely,3,Medical,Low,Medium,2,Sales Executive,Very High,Married,7644,No,2,10,Excellent,9,7,4
193,39,No,Travel_Frequently,4,Medical,Low,High,1,Manufacturing Director,High,Single,5042,No,0,10,Low,9,2,8
194,31,No,Travel_Frequently,20,Life Sciences,High,Very High,0,Sales Representative,Very High,Married,2791,No,1,3,Excellent,2,2,2
195,30,No,Travel_Rarely,27,Marketing,High,High,1,Sales Executive,Very High,Divorced,5304,No,1,10,Good,8,7,7
196,44,No,Travel_Rarely,28,Medical,Very High,Very High,3,Sales Executive,Very High,Married,13320,Yes,1,23,Excellent,12,11,11
197,23,No,Travel_Rarely,9,Medical,Medium,High,0,Laboratory Technician,Low,Married,2500,No,1,5,Outstanding,4,3,2
198,41,No,Travel_Rarely,8,Marketing,High,High,1,Sales Executive,Medium,Married,4393,No,1,14,Excellent,5,4,4
199,21,Yes,Travel_Rarely,10,Life Sciences,High,Medium,0,Laboratory Technician,Low,Single,1416,No,0,1,Good,1,0,0
200,45,No,Non-Travel,1,Life Sciences,High,Medium,2,Healthcare Representative,High,Married,10748,No,1,25,Good,23,15,4
201,40,No,Travel_Rarely,9,Medical,Low,High,1,Sales Executive,Low,Married,5473,No,0,9,Outstanding,8,4,1
202,44,No,Travel_Rarely,1,Medical,Medium,High,0,Research Scientist,Very High,Single,2436,Yes,0,6,Excellent,4,3,2
203,31,No,Travel_Rarely,11,Life Sciences,Very High,High,0,Research Scientist,Very High,Married,2356,Yes,1,8,Excellent,6,4,2
204,46,Yes,Travel_Rarely,9,Marketing,Low,High,2,Sales Executive,Very High,Divorced,10096,No,1,28,Outstanding,7,7,3
205,53,No,Travel_Rarely,6,Life Sciences,Very High,High,1,Laboratory Technician,Very High,Single,2450,No,0,19,Excellent,2,2,2
206,49,No,Travel_Rarely,1,Technical Degree,High,High,0,Research Scientist,Low,Married,3580,No,1,7,Excellent,4,2,2
207,46,No,Travel_Rarely,8,Life Sciences,Very High,Medium,1,Research Scientist,Low,Divorced,4615,Yes,3,19,Excellent,16,13,7
208,31,No,Travel_Rarely,12,Medical,High,High,0,Research Scientist,Very High,Married,3929,Yes,1,7,Excellent,4,2,2
209,50,No,Travel_Frequently,20,Medical,Medium,High,3,Healthcare Representative,High,Married,11245,Yes,1,32,Excellent,30,8,13
210,58,No,Travel_Rarely,1,Medical,Very High,High,4,Research Director,Low,Married,19701,Yes,1,32,Excellent,9,8,5
211,34,No,Non-Travel,23,Marketing,Medium,High,1,Sales Executive,High,Single,4568,No,0,10,Excellent,9,5,7
